User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-05T22:05:35Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",7ebb326d-68b2-45b2-bc61-68d082c7bdde,cbd8c2af-e3b1-45a8-8d78-9bdb5a7bce1c,false,AwsApiCall,182640989777,Management,,
Dmondello,ASIASVBSAKZI3F9YLSKS,2021-01-05T22:00:44Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",dece80dc-a423-4850-9921-82c2cecc2a0e,9c969caa-8bcb-46b3-b2de-159961ea8496,false,AwsApiCall,182640989777,Management
Dmondello,ASIASVBSAKZI3F9YLSKS,2021-01-05T22:00:43Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZIWVACMPGCG""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",fee72aeb-60b0-45f7-b17d-4096ef1058d5,651da004-84c0-4749-a1f6-61ea0082b2aa,false,AwsApiCall,182640989777,Management
Dmondello,ASIASVBSAKZI3F9YLSKS,2021-01-05T22:00:43Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/lambda_exec""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZIUDKLJ5HCV""}]",fbe75ae5-8185-4781-b212-c2ac6b6dbed0,66c24c4d-0902-4cee-9bf3-b9048639a587,false,AwsApiCall,182640989777,Management
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-05T21:54:35Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",f123899b-ae06-4eed-9b90-7488662a3fc3,cae30308-b5df-4e1e-862a-a7fdb6abc8d5,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-05T21:53:56Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",e6738c46-0243-4cee-9629-24e85caa6357,5c5858b2-1e41-46e8-a279-517ca5c08d96,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI3F9YLSKS,2021-01-05T21:53:56Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",03cc2121-c1e3-4623-8815-7a7356a80726,b6929aa6-462e-465b-9753-67823312020d,false,AwsApiCall,182640989777,Management,,
Daniel,,2021-01-05T21:42:46Z,signin.amazonaws.com,ConsoleLogin,us-east-1,93.44.192.68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,4cb8ba44-7d66-41fd-974b-4f77fcc7d040,false,AwsConsoleSignIn,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T21:39:54Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",f9dda86b-9199-410b-8fe5-e4fbea3c5fb1,95e34f7d-893f-424b-83f3-e14dc330e8ab,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T21:39:52Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZIUJHSHWEUZ""}]",c9fdc42c-fb8c-4836-8d41-8ac9d6ae485d,78fa1d6d-78fd-40fc-b850-79b4f844ac0b,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T21:39:51Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZI52YBCYREU""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/lambda_exec""}]",86944c86-822b-4bf6-9841-820744d23c59,548f819a-cbb7-4465-987e-a3d479149b15,false,AwsApiCall,182640989777,Management
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T21:34:58Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""}]",149814de-e2b0-4d2e-a425-657b9438295a,7bd3067d-b095-4667-88b6-35734f73d22f,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T21:34:09Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",32bd2593-3a42-4e7b-8c52-b572d7776f0a,ee56b97c-aaa7-4b9f-a0ba-719aa908265e,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T21:34:08Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",ab80f01c-5f33-4210-8c32-d538111ca933,3c74942b-363b-4680-a38d-ff44f65a2c06,false,AwsApiCall,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T21:30:46Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),EntityAlreadyExistsException,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""}]",cf7219af-933f-4771-80cc-028066103eee,0f99e7b9-bf24-4464-8b12-81cee86752eb,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T21:30:46Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""lambda_exec""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/lambda_exec""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZIVTGJFYFO6""}]",accf29c5-89ed-4cc5-b041-9ed1a5b1d89f,6a5bbda5-9288-4203-8524-e53e980e467a,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T13:42:43Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",b22817c4-1f1f-49fc-9186-2fba0f1e03cd,794062fc-322c-499c-8645-348bb186890c,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T13:42:42Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZIWPD6QIKIE""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",265f11de-12bd-4fbe-86b7-375f0dfe6cd9,677a846f-bde5-48cf-aecc-5846882f58d0,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T13:42:42Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZIYFZBAERHH""}]",e1477752-26dc-422f-97e9-35784297a741,a52035de-fc6e-46d6-9439-fc0decc47226,false,AwsApiCall,182640989777,Management
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T13:37:37Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",0cf539c4-36b2-473d-9cae-594a7277eed4,9f43d527-cc32-4fc8-99da-ad59867b38eb,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T13:36:35Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",79207bba-a274-4404-b057-af21d81bb545,21063345-9c6b-4fa4-9b6b-84e5b51f481e,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZIY6LVOKXU,2021-01-05T13:36:35Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",8921fb96-3d35-4ce7-aa95-16ddd976d2aa,c4ce67ec-cbdb-4250-a641-7a070851f8b7,false,AwsApiCall,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T12:55:27Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",389c11bc-6160-4ded-a1d5-c59ac4ca83a4,51d81baa-0f51-47ed-a37e-d8829228da8d,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T12:55:26Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZIRZDUGTQGH""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/iam_for_lambda""}]",59bbf8b7-5c5f-4e9d-96bb-ac3f75fc3024,5e12db49-ca5b-4029-abca-2c65a8a13a1b,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T12:55:26Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZISLVI2BLYE""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",712db49e-9664-46c5-84b4-da4d404e3d6d,e6170719-472d-42f4-b2db-6d98b07b595a,false,AwsApiCall,182640989777,Management
Daniel,,2021-01-05T12:51:02Z,signin.amazonaws.com,ConsoleLogin,us-east-1,93.44.192.68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,e5d87e44-f919-45e4-847d-c100a547b611,false,AwsConsoleSignIn,182640989777,Management,,
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:30:52Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",44750af1-c813-493a-be49-ef2a86c1607e,bc28526d-a9d7-46d5-8c4d-6c7bdda85224,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:30:13Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",61806b96-891d-4c8d-8223-636f13ac5fbc,6819bb91-9cf3-473b-b453-edc3c9f58992,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:30:13Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",767bb911-f326-4a53-b743-8df1df390b57,da8ddfa0-3dbc-4cbb-9f95-e02a6ee4557f,false,AwsApiCall,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T08:17:38Z,iam.amazonaws.com,AttachRolePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",b759eb03-4c24-4f04-8a56-b6e02e86d4f3,4dd0e25e-0b9b-442e-a5bb-764161f3039a,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T08:17:36Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROASVBSAKZIWJTRS45MW""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::182640989777:role/iam_for_lambda""}]",bd0cce83-f556-4642-a2f2-65b1104f79ba,1c2849ab-e44f-46c2-ac84-2616e42aa462,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T08:17:36Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPASVBSAKZIXAN6W7YRZ""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",a079eedb-db39-43d5-b2ee-d2547abbcdf2,da3621b2-ca9b-46b3-a137-45bfb167c136,false,AwsApiCall,182640989777,Management
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:16:11Z,iam.amazonaws.com,DeleteRole,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",2ef3a4b5-a5cb-46a2-bafb-d26f6fc102cf,4a7e30fc-dc3a-41c6-a04a-efff2dc5cdf9,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:15:27Z,iam.amazonaws.com,DetachRolePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",253de680-db11-478a-b585-dc724fc195ce,621f17dd-66b6-4fbd-9453-60525807c4d2,false,AwsApiCall,182640989777,Management,,
Daniel,ASIASVBSAKZI4D7DC5HA,2021-01-05T08:15:27Z,iam.amazonaws.com,DeletePolicy,us-east-1,93.44.192.68,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::182640989777:policy/lambda_logging""}]",ba39474f-1b4a-416e-8b6c-63563cfd827d,a5a57c38-d652-4d60-afac-fdcf124a0283,false,AwsApiCall,182640989777,Management,,
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T08:06:15Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),EntityAlreadyExistsException,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""}]",560335a2-8852-4775-a53d-e0be8971caae,05cdf8e0-d7c4-4e66-a56e-db7d3e2b2694,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T08:06:15Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),EntityAlreadyExistsException,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",8fbee02f-c53d-440a-aefb-25299e535750,1074a013-dff6-4404-b6ab-d47428c172f7,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T00:22:47Z,iam.amazonaws.com,CreateRole,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),EntityAlreadyExistsException,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""}]",2116e11d-4efb-4f1c-a1e5-8ef280d9a988,7f350c74-6ae9-4a43-9b12-670b3684d4d2,false,AwsApiCall,182640989777,Management
Dmondello,AKIASVBSAKZIZPALM7BL,2021-01-05T00:22:47Z,iam.amazonaws.com,CreatePolicy,us-east-1,93.44.192.68,aws-sdk-go/1.36.7 (go1.15.5, darwin, amd64) APN/1.0 HashiCorp/1.0 Terraform/0.14.3 (+https://www.terraform.io),EntityAlreadyExistsException,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""lambda_logging""}]",c77c0c58-c4e6-42ca-aaca-1d284ac5b0cb,b33aa726-e604-41eb-b8da-35cb42bc8128,false,AwsApiCall,182640989777,Management
